DayOfWeek,DepTime,TaxiOut,DepTime_Min
5,1836.0,32.0,1116.0
5,2238.0,18.0,1358.0
5,1028.0,93.0,628.0
5,942.0,43.0,582.0
5,1051.0,108.0,651.0
5,2138.0,45.0,1298.0
5,1028.0,36.0,628.0
4,1829.0,29.0,1109.0
4,1200.0,16.0,720.0
4,1608.0,27.0,968.0
4,1039.0,26.0,639.0
4,1259.0,33.0,779.0
4,1814.0,29.0,1094.0
4,2106.0,20.0,1266.0
4,1243.0,16.0,763.0
4,1612.0,23.0,972.0
4,1053.0,26.0,653.0
4,1557.0,22.0,957.0
4,1035.0,28.0,635.0
4,1422.0,31.0,862.0
4,2018.0,20.0,1218.0
4,1353.0,22.0,833.0
4,1606.0,27.0,966.0
4,1247.0,22.0,767.0
4,2043.0,30.0,1243.0
4,1957.0,40.0,1197.0
4,1813.0,28.0,1093.0
4,1049.0,25.0,649.0
4,1757.0,18.0,1077.0
4,1954.0,25.0,1194.0
4,1801.0,33.0,1081.0
4,1409.0,31.0,849.0
4,1958.0,30.0,1198.0
4,1312.0,29.0,792.0
4,1055.0,49.0,655.0
4,1058.0,20.0,658.0
4,857.0,25.0,537.0
4,1250.0,25.0,770.0
4,709.0,23.0,429.0
4,1435.0,23.0,875.0
4,1611.0,20.0,971.0
4,1433.0,26.0,873.0
4,709.0,23.0,429.0
4,859.0,29.0,539.0
4,2143.0,30.0,1303.0
4,900.0,44.0,540.0
4,1417.0,15.0,857.0
4,1310.0,18.0,790.0
4,847.0,23.0,527.0
4,717.0,18.0,437.0
4,1203.0,18.0,723.0
4,1205.0,50.0,725.0
4,1805.0,17.0,1085.0
4,1959.0,24.0,1199.0
4,710.0,21.0,430.0
4,908.0,21.0,548.0
4,1958.0,28.0,1198.0
4,1012.0,18.0,612.0
4,1602.0,47.0,962.0
4,1059.0,21.0,659.0
4,1257.0,17.0,777.0
4,1837.0,32.0,1117.0
4,920.0,34.0,560.0
4,1119.0,23.0,679.0
4,1755.0,22.0,1075.0
4,1839.0,38.0,1119.0
4,928.0,32.0,568.0
4,1611.0,22.0,971.0
4,1718.0,17.0,1038.0
4,1604.0,21.0,964.0
4,1039.0,17.0,639.0
4,1425.0,30.0,865.0
4,1802.0,23.0,1082.0
4,908.0,47.0,548.0
4,1418.0,33.0,858.0
4,1103.0,28.0,663.0
4,1533.0,20.0,933.0
4,857.0,14.0,537.0
4,1557.0,20.0,957.0
4,750.0,19.0,470.0
4,1048.0,24.0,648.0
4,723.0,16.0,443.0
4,1949.0,32.0,1189.0
4,1645.0,18.0,1005.0
4,929.0,37.0,569.0
4,1054.0,29.0,654.0
4,1833.0,26.0,1113.0
4,1612.0,20.0,972.0
4,855.0,35.0,535.0
4,908.0,31.0,548.0
4,1813.0,30.0,1093.0
4,1755.0,28.0,1075.0
4,853.0,14.0,533.0
4,1834.0,56.0,1114.0
4,1648.0,19.0,1008.0
4,1747.0,21.0,1067.0
4,1550.0,22.0,950.0
4,927.0,42.0,567.0
4,2015.0,28.0,1215.0
4,1716.0,26.0,1036.0
4,1158.0,27.0,718.0
4,1632.0,22.0,992.0
4,1956.0,28.0,1196.0
4,1035.0,17.0,635.0
4,1247.0,23.0,767.0
4,1807.0,23.0,1087.0
4,1038.0,20.0,638.0
4,2000.0,32.0,1200.0
4,1050.0,50.0,650.0
4,1314.0,29.0,794.0
4,1947.0,18.0,1187.0
4,651.0,33.0,411.0
4,1309.0,23.0,789.0
4,644.0,23.0,404.0
4,1045.0,32.0,645.0
4,847.0,20.0,527.0
4,842.0,24.0,522.0
4,1837.0,54.0,1117.0
4,1851.0,31.0,1131.0
4,926.0,29.0,566.0
4,709.0,19.0,429.0
4,1035.0,17.0,635.0
4,1909.0,22.0,1149.0
4,1044.0,31.0,644.0
4,2055.0,25.0,1255.0
4,1412.0,16.0,852.0
4,1110.0,22.0,670.0
4,1612.0,33.0,972.0
4,2010.0,41.0,1210.0
4,1842.0,39.0,1122.0
4,605.0,18.0,365.0
4,1359.0,19.0,839.0
4,1953.0,19.0,1193.0
4,1056.0,25.0,656.0
4,1451.0,23.0,891.0
4,854.0,29.0,534.0
4,1957.0,38.0,1197.0
4,1313.0,22.0,793.0
4,1804.0,31.0,1084.0
4,602.0,21.0,362.0
4,1428.0,24.0,868.0
4,1818.0,24.0,1098.0
4,1437.0,28.0,877.0
4,1232.0,10.0,752.0
4,708.0,20.0,428.0
4,1823.0,32.0,1103.0
4,2004.0,23.0,1204.0
4,900.0,38.0,540.0
4,1821.0,44.0,1101.0
4,2110.0,22.0,1270.0
4,1407.0,20.0,847.0
4,1945.0,39.0,1185.0
4,1812.0,23.0,1092.0
4,1050.0,19.0,650.0
4,1746.0,23.0,1066.0
4,720.0,28.0,440.0
4,730.0,21.0,450.0
4,914.0,32.0,554.0
4,1803.0,25.0,1083.0
4,1821.0,27.0,1101.0
4,753.0,20.0,473.0
4,1237.0,18.0,757.0
4,1406.0,28.0,846.0
4,1939.0,25.0,1179.0
4,1320.0,27.0,800.0
4,920.0,29.0,560.0
4,1427.0,29.0,867.0
4,1905.0,19.0,1145.0
4,1955.0,46.0,1195.0
4,1607.0,19.0,967.0
4,1055.0,47.0,655.0
4,1359.0,43.0,839.0
4,901.0,25.0,541.0
4,2012.0,30.0,1212.0
4,709.0,20.0,429.0
4,1334.0,26.0,814.0
4,734.0,17.0,454.0
4,1621.0,15.0,981.0
4,1055.0,48.0,655.0
